program,sub_program,district_name,campus_id,campus,year,demog,subject,proficiency,rate
Teams,Teams 1,DALLAS ISD,57905273,PLEASANT GROVE EL,2015,all,reading,meets,31
Teams,Teams 1,DALLAS ISD,57905273,PLEASANT GROVE EL,2015,all,reading,approaches,65
ALP,C4,DALLAS ISD,57905278,LEONIDES GONZALEZ CIGARROA MD EL,2015,all,reading,meets,19
ALP,C4,DALLAS ISD,57905278,LEONIDES GONZALEZ CIGARROA MD EL,2015,all,reading,approaches,58
Teams,Teams 2,DALLAS ISD,57905287,CELESTINO MAURICIO SOTO JR EL,2015,all,reading,meets,28
Teams,Teams 2,DALLAS ISD,57905287,CELESTINO MAURICIO SOTO JR EL,2015,all,reading,approaches,58
ALP,C4,DALLAS ISD,57905304,GEORGE HERBERT WALKER BUSH EL,2015,all,reading,meets,35
ALP,C4,DALLAS ISD,57905304,GEORGE HERBERT WALKER BUSH EL,2015,all,reading,approaches,77
Alumni Network,NULL,DALLAS ISD,57905353,ANN RICHARDS MIDDLE,2015,all,math,meets,41
Alumni Network,NULL,DALLAS ISD,57905353,ANN RICHARDS MIDDLE,2015,all,math,approaches,91
Alumni Network,NULL,DALLAS ISD,57905353,ANN RICHARDS MIDDLE,2015,all,reading,meets,23
Alumni Network,NULL,DALLAS ISD,57905353,ANN RICHARDS MIDDLE,2015,all,reading,approaches,68
Teams,Teams 1,FORT WORTH ISD,220905045,FOREST OAK MIDDLE,2015,all,math,meets,92
Teams,Teams 1,FORT WORTH ISD,220905045,FOREST OAK MIDDLE,2015,all,math,approaches,100
Teams,Teams 1,FORT WORTH ISD,220905045,FOREST OAK MIDDLE,2015,all,reading,meets,17
Teams,Teams 1,FORT WORTH ISD,220905045,FOREST OAK MIDDLE,2015,all,reading,approaches,59
Teams,Teams 1,FORT WORTH ISD,220905058,STRIPLING MIDDLE,2015,all,math,meets,71
Teams,Teams 1,FORT WORTH ISD,220905058,STRIPLING MIDDLE,2015,all,math,approaches,98
Teams,Teams 1,FORT WORTH ISD,220905058,STRIPLING MIDDLE,2015,all,reading,meets,46
Teams,Teams 1,FORT WORTH ISD,220905058,STRIPLING MIDDLE,2015,all,reading,approaches,86
Teams,Teams 1,FORT WORTH ISD,220905059,J MARTIN JACQUET MIDDLE,2015,all,math,meets,72
Teams,Teams 1,FORT WORTH ISD,220905059,J MARTIN JACQUET MIDDLE,2015,all,math,approaches,100
Teams,Teams 1,FORT WORTH ISD,220905059,J MARTIN JACQUET MIDDLE,2015,all,reading,meets,19
Teams,Teams 1,FORT WORTH ISD,220905059,J MARTIN JACQUET MIDDLE,2015,all,reading,approaches,58
Teams,Teams 1,FORT WORTH ISD,220905071,BENBROOK MIDDLE/HIGH SCHOOL,2015,all,math,meets,71
Teams,Teams 1,FORT WORTH ISD,220905071,BENBROOK MIDDLE/HIGH SCHOOL,2015,all,math,approaches,92
Teams,Teams 1,FORT WORTH ISD,220905071,BENBROOK MIDDLE/HIGH SCHOOL,2015,all,reading,meets,48
Teams,Teams 1,FORT WORTH ISD,220905071,BENBROOK MIDDLE/HIGH SCHOOL,2015,all,reading,approaches,85
Teams,Teams 1,FORT WORTH ISD,220905105,WEST HANDLEY EL,2015,all,reading,meets,21
Teams,Teams 1,FORT WORTH ISD,220905105,WEST HANDLEY EL,2015,all,reading,approaches,61
Teams,Teams 1,FORT WORTH ISD,220905117,COMO EL,2015,all,reading,meets,15
Teams,Teams 1,FORT WORTH ISD,220905117,COMO EL,2015,all,reading,approaches,49
Teams,Teams 1,FORT WORTH ISD,220905120,RUFINO MENDOZA SR EL,2015,all,reading,meets,24
Teams,Teams 1,FORT WORTH ISD,220905120,RUFINO MENDOZA SR EL,2015,all,reading,approaches,57
Teams,Teams 1,FORT WORTH ISD,220905124,MAUDE I LOGAN EL,2015,all,reading,meets,13
Teams,Teams 1,FORT WORTH ISD,220905124,MAUDE I LOGAN EL,2015,all,reading,approaches,48
Teams,Teams 1,FORT WORTH ISD,220905129,JOHN T WHITE EL,2015,all,reading,meets,20
Teams,Teams 1,FORT WORTH ISD,220905129,JOHN T WHITE EL,2015,all,reading,approaches,51
Teams,Teams 1,FORT WORTH ISD,220905144,MITCHELL BOULEVARD EL,2015,all,reading,meets,19
Teams,Teams 1,FORT WORTH ISD,220905144,MITCHELL BOULEVARD EL,2015,all,reading,approaches,59
Teams,Teams 1,FORT WORTH ISD,220905148,CHARLES NASH EL,2015,all,reading,meets,54
Teams,Teams 1,FORT WORTH ISD,220905148,CHARLES NASH EL,2015,all,reading,approaches,83
Teams,Teams 1,FORT WORTH ISD,220905160,MAUDRIE WALTON EL,2015,all,reading,meets,17
Teams,Teams 1,FORT WORTH ISD,220905160,MAUDRIE WALTON EL,2015,all,reading,approaches,59
Teams,Teams 1,FORT WORTH ISD,220905219,LOWERY ROAD,2015,all,reading,meets,31
Teams,Teams 1,FORT WORTH ISD,220905219,LOWERY ROAD,2015,all,reading,approaches,77
Teams,Teams 1,FORT WORTH ISD,220905225,BONNIE BRAE,2015,all,reading,meets,28
Teams,Teams 1,FORT WORTH ISD,220905225,BONNIE BRAE,2015,all,reading,approaches,79
ALP,C3,UPLIFT EDUCATION,57803003,UPLIFT EDUCATION - UPLIFT GRAND PR,2016,all,math,meets,34
ALP,C3,UPLIFT EDUCATION,57803003,UPLIFT EDUCATION - UPLIFT GRAND PR,2016,all,math,approaches,67
ALP,C3,UPLIFT EDUCATION,57803003,UPLIFT EDUCATION - UPLIFT GRAND PR,2016,all,reading,meets,38
ALP,C3,UPLIFT EDUCATION,57803003,UPLIFT EDUCATION - UPLIFT GRAND PR,2016,all,reading,approaches,75
Alumni Network,NULL,UPLIFT EDUCATION,57803007,UPLIFT HAMPTON PREPARATORY H S,2016,all,math,meets,12
Alumni Network,NULL,UPLIFT EDUCATION,57803007,UPLIFT HAMPTON PREPARATORY H S,2016,all,math,approaches,75
Alumni Network,NULL,UPLIFT EDUCATION,57803007,UPLIFT HAMPTON PREPARATORY H S,2016,all,reading,meets,52
Alumni Network,NULL,UPLIFT EDUCATION,57803007,UPLIFT HAMPTON PREPARATORY H S,2016,all,reading,approaches,74
ALP,C3,UPLIFT EDUCATION,57803010,UPLIFT PEAK PREPARATORY H S,2016,all,math,meets,18
ALP,C3,UPLIFT EDUCATION,57803010,UPLIFT PEAK PREPARATORY H S,2016,all,math,approaches,67
ALP,C3,UPLIFT EDUCATION,57803010,UPLIFT PEAK PREPARATORY H S,2016,all,reading,meets,42
ALP,C3,UPLIFT EDUCATION,57803010,UPLIFT PEAK PREPARATORY H S,2016,all,reading,approaches,64
Alumni Network,NULL,UPLIFT EDUCATION,57803044,UPLIFT HAMPTON PREPARATORY MIDDLE,2016,all,math,meets,24
Alumni Network,NULL,UPLIFT EDUCATION,57803044,UPLIFT HAMPTON PREPARATORY MIDDLE,2016,all,math,approaches,68
Alumni Network,NULL,UPLIFT EDUCATION,57803044,UPLIFT HAMPTON PREPARATORY MIDDLE,2016,all,reading,meets,33
Alumni Network,NULL,UPLIFT EDUCATION,57803044,UPLIFT HAMPTON PREPARATORY MIDDLE,2016,all,reading,approaches,72
Alumni Network,NULL,UPLIFT EDUCATION,57803045,UPLIFT WILLIAMS PREPARATORY MIDDLE,2016,all,math,meets,45
Alumni Network,NULL,UPLIFT EDUCATION,57803045,UPLIFT WILLIAMS PREPARATORY MIDDLE,2016,all,math,approaches,80
